transaction_id,amount,transaction_type,account_age_days,num_prev_transactions,location_risk,device_type,is_fraud
1,46.93,cash_out,816,249,high,desktop,0
2,301.01,debit,1474,362,high,mobile,1
3,131.67,transfer,454,440,medium,desktop,0
4,91.29,debit,1948,20,medium,desktop,0
5,16.96,debit,629,195,low,tablet,0
6,16.96,cash_out,1245,177,high,mobile,0
7,5.98,debit,1178,416,medium,mobile,0
8,201.12,cash_out,665,474,high,mobile,1
9,91.91,payment,12,6,high,mobile,0
10,123.13,payment,1157,69,low,mobile,0
11,2.08,cash_out,304,126,low,desktop,0
12,350.36,payment,1317,398,low,tablet,0
13,178.64,transfer,975,465,low,mobile,0
14,23.87,debit,1324,159,high,tablet,0
15,20.07,transfer,1764,247,low,tablet,0
16,20.26,debit,783,202,low,desktop,0
17,36.28,payment,43,147,low,mobile,0
18,74.39,transfer,944,471,low,desktop,0
19,56.55,payment,343,142,high,mobile,0
20,34.42,debit,1350,431,low,desktop,0
21,94.64,cash_out,1838,198,high,tablet,0
22,15.02,cash_out,498,404,medium,mobile,0
23,34.55,transfer,364,425,high,tablet,0
24,45.63,payment,891,153,high,tablet,0
25,60.89,payment,427,491,low,desktop,0
26,153.79,transfer,1005,375,medium,mobile,0
27,22.27,cash_out,21,383,medium,tablet,0
28,72.2,debit,407,141,medium,desktop,0
29,89.75,transfer,619,312,medium,mobile,0
30,4.76,debit,1015,164,high,mobile,0
31,93.53,cash_out,336,313,medium,tablet,0
32,18.7,payment,1839,20,high,mobile,0
33,6.73,cash_out,1141,81,high,tablet,0
34,297.37,transfer,1148,68,high,mobile,1
35,337.06,payment,399,130,medium,desktop,0
36,165.23,transfer,793,86,low,tablet,0
37,36.33,transfer,1828,217,low,tablet,0
38,10.28,cash_out,715,420,medium,mobile,0
39,115.28,transfer,51,471,low,mobile,0
40,58.01,cash_out,1807,304,low,tablet,0
41,13.02,payment,324,402,high,mobile,0
42,68.35,cash_out,789,370,high,desktop,0
43,3.5,payment,141,344,medium,mobile,0
44,240.04,cash_out,470,340,medium,desktop,0
45,29.95,debit,787,383,low,desktop,0
46,108.63,debit,1826,395,high,desktop,0
47,37.35,transfer,1358,444,medium,desktop,0
48,73.41,cash_out,1917,424,medium,desktop,0
49,79.12,cash_out,964,160,medium,mobile,0
50,20.44,payment,1008,177,medium,desktop,0
51,349.28,transfer,373,116,medium,mobile,0
